Rank,company,revenue,employee,URL
72,American Express,"$43,281.00 ","59,000",https://www.indeed.com/cmp/American-Express
73,Nationwide,"$43,270.00 ","30,472",https://www.indeed.com/cmp/Nationwide-Mutual-Insurance-Company
74,Best Buy,"$42,879.00 ","125,000",https://www.indeed.com/cmp/Best-Buy
75,Liberty Mutual Insurance Group,"$42,685.00 ","50,000",https://www.indeed.com/cmp/Liberty-Mutual
76,Merck,"$42,294.00 ","69,000",https://www.indeed.com/cmp/Merck
77,Honeywell International,"$41,802.00 ","114,000",https://www.indeed.com/cmp/Honeywell
78,United Continental Holdings,"$41,303.00 ","92,000",https://www.indeed.com/cmp/United-Airlines
79,TIAA,"$41,052.10 ","17,643",https://www.indeed.com/cmp/Tiaa
80,Tyson Foods,"$40,052.00 ","121,000",https://www.indeed.com/cmp/Tyson-Foods-Incorporated
81,Oracle,"$39,831.00 ","137,000",https://www.indeed.com/cmp/Oracle
82,Allstate,"$39,815.00 ","45,420",https://www.indeed.com/cmp/Allstate-Insurance
83,World Fuel Services,"$39,750.30 ","5,000",https://www.indeed.com/cmp/World-Fuel-Services
84,Massachusetts Mutual Life Insurance,"$39,267.20 ","9,844",https://www.indeed.com/cmp/Massmutual-Financial-Group
85,TJX,"$38,972.90 ","270,000","https://www.indeed.com/cmp/The-TJX-Companies,-Inc."
86,ConocoPhillips,"$38,727.00 ","10,800",https://www.indeed.com/cmp/Conocophillips
87,Deere,"$37,357.70 ","74,413",https://www.indeed.com/cmp/John-Deere
88,Tech Data,"$37,239.00 ","14,000",https://www.indeed.com/cmp/Tech-Data
89,Enterprise Products Partners,"$36,534.20 ","7,000",https://www.indeed.com/cmp/Enterprise-Products
90,Nike,"$36,397.00 ","73,100",https://www.indeed.com/cmp/Nike
91,Publix Super Markets,"$36,395.70 ","202,000",https://www.indeed.com/cmp/Publix
92,General Dynamics,"$36,193.00 ","105,600",https://www.indeed.com/cmp/General-Dynamics-Information-Technology
93,Exelon,"$35,985.00 ","33,383",https://www.indeed.com/cmp/Exelon
94,Plains GP Holdings,"$34,055.00 ","4,900",https://www.indeed.com/cmp/Plains-All-American-Pipeline
95,3M,"$32,765.00 ","93,516",https://www.indeed.com/cmp/3M
96,AbbVie,"$32,753.00 ","30,000",https://www.indeed.com/cmp/Abbvie
97,CHS,"$32,683.30 ","10,495",https://www.indeed.com/cmp/Chs-Inc.
98,Capital One Financial,"$32,377.00 ","47,600",https://www.indeed.com/cmp/Capital-One
99,Progressive,"$31,979.00 ","37,346",https://www.indeed.com/cmp/Progressive
100,Coca-Cola,"$31,856.00 ","62,600",https://www.indeed.com/cmp/The-Coca--cola-Company-(tccc)
101,USAA,"$31,367.80 ","33,689",https://www.indeed.com/cmp/Usaa
102,Hewlett Packard Enterprise,"$30,852.00 ","60,000",https://www.indeed.com/cmp/Hewlett-Packard-Enterprise
103,Abbott Laboratories,"$30,578.00 ","103,000",https://www.indeed.com/cmp/Abbott-Laboratories
104,Twenty-First Century Fox,"$30,400.00 ","22,400",https://www.indeed.com/cmp/21st-Century-Fox
105,Micron Technology,"$30,391.00 ","36,000","https://www.indeed.com/cmp/Micron-Technology,-Inc."
106,Travelers,"$30,282.00 ","30,400",https://www.indeed.com/cmp/Travelers
107,Rite Aid,"$30,215.40 ","48,410",https://www.indeed.com/cmp/Rite-Aid
108,Northrop Grumman,"$30,095.00 ","85,000",https://www.indeed.com/cmp/Northrop-Grumman
109,Arrow Electronics,"$29,676.80 ","20,100",https://www.indeed.com/cmp/Arrow-Electronics
110,Philip Morris International,"$29,625.00 ","77,400",https://www.indeed.com/cmp/Philips
111,Northwestern Mutual,"$29,124.00 ","5,870",https://www.indeed.com/cmp/Northwestern-Mutual
112,INTL FCStone,"$27,622.70 ","1,701",https://www.indeed.com/cmp/Intl-Fcstone
113,PBF Energy,"$27,186.10 ","3,266",https://www.indeed.com/cmp/Pbf-Energy
114,Raytheon,"$27,058.00 ","67,000",https://www.indeed.com/cmp/Raytheon
115,Kraft Heinz,"$26,259.00 ","39,000",https://www.indeed.com/cmp/Kraft-Heinz-Company
116,Mondelez International,"$25,938.00 ","80,000",https://www.indeed.com/cmp/Mondelez-International
117,U.S. Bancorp,"$25,775.00 ","75,772",https://www.indeed.com/cmp/U.S.-Bank
118,Macy's,"$25,739.00 ","130,000",https://www.indeed.com/cmp/Macy's
119,Dollar General,"$25,625.00 ","135,000",https://www.indeed.com/cmp/Dollar-General
120,Nucor,"$25,067.30 ","26,300",https://www.indeed.com/cmp/Nucor
121,Starbucks,"$24,719.50 ","291,000",https://www.indeed.com/cmp/Starbucks
122,DXC Technology,"$24,556.00 ","150,000",https://www.indeed.com/cmp/Dxc-Technology
123,Eli Lilly,"$24,555.70 ","38,680",https://www.indeed.com/cmp/Eli-Lilly
